service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
4085V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
4086S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
4087D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
4088L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
4089M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
4090X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
4091J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
4092V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
4162X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
4163J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
4164V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
4165S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
4166D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
4167L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
4168M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
4169X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
4170J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
4171V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
4172S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
4173D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
4174L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
4175M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
4176X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
4177J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
4178V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
4179S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
4180D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
4181L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
4182M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
4183X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
4184J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
4185V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
4186S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
4187D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
4188L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
4189M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
4190X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
4191J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
4192V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
5162X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
5163J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
5164V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
5165S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
5166D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
5167L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
5168M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
5169X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
5170J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
5171V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
5172S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
5173D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
5174L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
5175M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
5176X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
5177J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
5178V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
5179S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
5180D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
5181L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
5182M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
5183X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
5184J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
5185V,0,0,0,0,1,0,0,20250606,20250606                                                                                                                 
5186S,0,0,0,0,0,1,0,20250607,20250607                                                                                                                 
5187D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
5188L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
5189M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
5190X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
5191J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
5192V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
6062X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
6063J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
6064V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
6065S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
6066D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
6067L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
6068M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
6069X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
6070J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
6071V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
6072S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
6073D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
6074L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
6075M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
6076X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
6077J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
6078V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
6079S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
